"Id","Name","Short.description","Gender","Country","Occupation","Birth.year","Death.year","Manner.of.death","Age.of.death"
"Q361318","Vyacheslav Ivanovich Ivanov","Russian Symbolist poet, playwright, theatre theorist, translator","Male","Italy; Russian Soviet Federative Socialist Republic; Soviet Union; Russian Empire; Azerbaijan Soviet Socialist Republic; Kingdom of Italy","Artist",1866,1949,"",83
"Q9303273","Raisa Zhuk-Hryshkevich","dentiste et personnalité politique biélorusse","Female","","Dentist; public figure",1919,2009,"",90
"Q3194791","Keith Walker","American actor (1935-1996)","Male","United States of America","Artist",1935,1996,"",61
"Q28864793","Douglas Redd","beeldend kunstenaar","Male","","",1947,2007,"",60
"Q588590","Anton Bömly","German singer","Male","Germany","Artist",1808,1874,"",66
"Q3768238","Tomaso Cimello","Composer and poet","Male","","Artist",1510,1591,"",81
"Q15994594","John Lucas, 1st Baron Lucas of Shenfield","industrialist","Male","Kingdom of England","Businessperson",1606,1671,"",65
"Q10266558","Diogo Furtado","Portuguese psychiatrist","Male","Portugal","Psychiatrist",1906,1964,"",58
"Q1647105","Ludwig Karl Heinrich Streiber","politician (1767-1828)","Male","","Politician",1767,1828,"",61
"Q62274473","Pierre Marie","Frans politieagent (1907-1999)","Male","France","Police officer",1907,1999,"",92
"Q17165450","Johanne Grieg Cederblad","Norwegian writer","Female","Norway; Sweden","Artist",1901,1979,"",78
"Q75435","Eva Probst","German actress (1930-2018)","Female","Germany","Artist",1930,2018,"",88
"Q5788232","Bent Hansen","Danish editor and politician","","Denmark","Politician",1931,2000,"",69
"Q7495228","Sherman Plunkett","American football player (1933-1989)","Male","United States of America","Athlete",1933,1989,"",56
"Q1294037","Antenor Nydqvist","Swedish engineer","Male","Sweden","Businessperson",1817,1914,"",97
"Q1702163","John William Corrington","writer","Male","United States of America","Artist",1932,1988,"",56
"Q1424445","Theophil Funk","German theologian","","German Democratic Republic","Religious figure",1912,1983,"",71
"Q6141019","Ludvig Jönsson","Swedish writer and priest","Male","Sweden","Artist",1923,1985,"",62
"Q13137458","Piet Hiemstra","Dutch politician (1878-1953)","Male","Kingdom of the Netherlands","Politician",1878,1953,"",75
"Q1684913","Jean-Jacques Grunenwald","French organist, composer, architect, and pedagogue","Male","France","Artist",1911,1982,"",71
"Q3365038","Parfait Jans","French politician","","France","Artist",1926,2011,"",85
"Q6263811","John White","western music singer, born 1902","Male","United States of America","Artist",1902,1992,"",90
"Q63254378","Maurice Roseau","French mathematician","Male","","Researcher",1925,2015,"",90
"Q3103535","Georges Thomas","French association football player (1931-2019)","Male","France","Athlete",1931,2019,"",88
"Q5137041","Clyde Van Sickle","American football player (1907-1995)","Male","United States of America","Athlete",1907,1995,"",88
"Q16712330","Vasily Fomichyov","Soviet painter (1924-1992)","","Soviet Union","Artist",1924,1992,"",68
"Q22019617","William Taylor Davidson","bewerker","Male","","Politician",1837,1915,"",78
"Q574810","Henry Eyring","Mexican-born American theoretical chemist","Male","United States of America","Researcher",1901,1981,"",80
"Q44620","Franz Josef Strauß","German politician (1915-1988)","Male","Germany","Politician",1915,1988,"",73
"Q16059782","Frances Cox Henderson","First Lady of Texas","Female","United States of America","First lady",1820,1897,"",77
"Q606577","Olga Syahputra","Indonesian actor and singer","Male","Indonesia","Artist",1983,2015,"natural causes",32
"Q18672765","William Pettit Griffith","English architect and antiquary","Male","United Kingdom of Great Britain and Ireland","Architect",1815,1884,"",69
"Q7436762","Scott Manning","Canadian aerobatic pilot","Male","","Military personnel",1958,2006,"",48
"Q305362","Carl Macek","American writer, producer","Male","United States of America","Artist",1951,2010,"natural causes",59
"Q3169171","Jean-Pierre David","French physician","Male","France","Physician",1717,1784,"",67
"Q16097261","Nicolás Nogueras","Member of the Senate of Puerto Rico","Male","United States of America","Politician",1935,2019,"",84
"Q1693719","Johann Friedrich Kreytz","preußischer Generalmajor, Chef des Infanterie-Regiments Nr.40","Male","Germany","",1693,1759,"",66
"Q3848896","Mario Pais de Libera","Italian sculptor (1920-2010)","Male","Italy; Kingdom of Italy","Artist",1920,2010,"",90
"Q55887423","Friedrich Schwaner","1890 bis 1930 Beruf/Funktion Philologe ; Studienrat ; Buchhändler ; Liederkomponist Konfession - Namensvarianten Schwaner, Friedrich","Male","","",1890,1930,"",40
"Q4411745","Ray Binger","cinematographer","Male","United States of America","Cinematographer",1888,1970,"",82
"Q15973923","Jean-Baptiste Boutard","French politician","Male","France","Politician",1862,1920,"",58
"Q42553930","Hector William van Cuylenburg","Ceylonese lawyer, newspaper proprietor and politician","Male","Sri Lanka","Politician",1847,1915,"",68
"Q26255845","Frederick Cecil Mills","American economist","Male","United States of America","Businessperson",1892,1964,"",72
"Q38118428","Milan Trbižan","slovenski inženir metalurgije in univerzitetni profesor","Male","Slovenia; Socialist Federal Republic of Yugoslavia; Kingdom of Yugoslavia","Researcher",1935,2015,"",80
"Q18808843","Marshall Ho'o","American t'ai chi ch'uan practitioner","Male","","",1910,1993,"",83
"Q11685363","Alfred Šerko","Slovene speleologist","Male","Kingdom of Yugoslavia","Physician",1910,1948,"",38
"Q921366","José García Nieto","Spanish poet and writer","Male","Spain","Artist",1914,2001,"",87
"Q3370260","Paul-Charles-Amable de Bourgoing","French diplomat","Male","France","Politician",1791,1864,"",73
"Q1366710","Mirza Davud Huseynov","Azerbaijani politician (1894–1938)","Male","Soviet Union; Russian Empire; Azerbaijan Soviet Socialist Republic; Democratic Republic of Azerbaijan; Transcaucasian Socialist Federative Soviet Republic","Politician",1894,1938,"unnatural death",44
"Q55676182","Hans Jacob Pestalozzi","(1749-1831)","Male","","Merchant",1749,1831,"",82
"Q16062751","Bartolommeo Ardy","Italian painter (1821-1887)","Male","","Artist",1821,1887,"",66
"Q15992795","Evelyne Bradley","","Female","","",1925,2013,"",88
"Q4757931","Andrew McCulloch","Canadian civil engineer","Male","","Engineer",1864,1945,"",81
"Q11647104","Shōzō Kanasashi","Japanese historian","Male","Japan","Researcher",1914,1989,"",75
"Q6500840","Laurence Pomeroy","Automotive engineer","Male","United Kingdom; United Kingdom of Great Britain and Ireland","Engineer",1883,1941,"",58
"Q3750383","Francesco Pallavicini","Italian politician","Male","Kingdom of Italy","Politician",1828,1887,"",59
"Q28358118","Anders Haugum","agricultor noruegu (1881–1964)","Male","Norway","Farmer",1881,1964,"",83
"Q12715865","Johannes Eriksen Malmin","Norwegian farmer and politician (1777-1852)","Male","Norway","Politician",1777,1852,"",75
"Q7175055","Peter Judge","English cricketer (1916-1992)","Male","United Kingdom; United Kingdom of Great Britain and Ireland","Athlete",1916,1992,"",76
"Q265358","Constance Bennett","American actress","Female","United States of America","Artist",1904,1965,"natural causes",61
"Q40853939","Henk Kompagnie","Dutch politician","Male","Kingdom of the Netherlands","Politician",1898,1945,"",47
"Q16014183","Kathleen Shannon","Canadian filmmaker","Female","Canada","Artist",1935,1998,"natural causes",63
"Q2546932","Maria Assunta Pallotta","Italian nun","Female","Kingdom of Italy","Religious figure",1878,1905,"natural causes",27
"Q3262841","Louis Paris","bibliothecaris","Male","","Librarian",1864,1934,"",70
"Q3761035","Gerhard Werner","American pharmacologist","Male","Germany","Pharmacologist",1947,2012,"",65
"Q1596707","Heinrich Bender","German pianist","Male","Germany","Pianist",1925,2016,"",91
"Q21538732","Harold Waddell McGregor","(1898-1978) woolbroker","Male","","",1898,1978,"",80
"Q18747031","Willi Schohaus","Swiss educationist (1897-1981)","Male","Switzerland","",1897,1981,"",84
"Q16439961","Willy Prinz","(1877-1942)","Male","Luxembourg","Athlete",1877,1942,"",65
"Q18021712","Karl Franke","German typographer","Male","Germany","",1894,1952,"",58
"Q3848447","Mario Cipriani","Italian actor","Male","Italy; Kingdom of Italy","Artist",1926,2003,"",77
"Q19278886","Egon Backhaus","German geologist","","Germany","Researcher",1927,2002,"",75
"Q26236182","Alice Franklin","Co-founder of Townswomen's Guild","Female","","Feminist",1885,1964,"",79
"Q3086876","Fred Lau","audio engineer (1897-1971)","Male","","Engineer",1897,1971,"",74
"Q1606719","Henry F. Naphen","American politician (1852-1905)","Male","United States of America","Politician",1852,1905,"",53
"Q1261441","Friedrich Düsterdieck","German theologian","Male","German Empire","Religious figure",1822,1906,"",84
"Q25830834","John Clement Fitzpatrick","Amerikaans historicus (1876-1940)","Male","United States of America","Researcher",1876,1940,"",64
"Q2501904","Ursula Strätz","German actress (1940-2011)","Female","Germany","Artist",1940,2011,"",71
"Q2644893","Vladimir Darbinyan","Armenian politician (1931-2015)","","Armenia","Politician",1931,2015,"",84
"Q21165180","Peter Kinck","1729 - 1754","Male","","",1729,1754,"",25
"Q11801114","Otto Splitgerber","vliegende aas","Male","","Flying ace",1893,1918,"",25
"Q13024845","Yoshiko Hosokawa","日本の首相夫人","Female","Japan","",1918,1940,"",22
"Q9389801","Zdzisław Piasecki","Polish teacher","Male","Poland","Teacher",1932,2006,"",74
"Q28055143","Eberhard X von Erbach","","Male","","",1350,1418,"",68
"Q5711626","Uno Eng","Swedish writer","","Sweden","Artist",1896,1972,"",76
"Q9262736","Franciszek Michejda","polský národní buditel","Male","","Pastor",1848,1921,"",73
"Q29919390","André Dugès","produttore cinematografico e regista francese","Male","France","Artist",1881,1943,"",62
"Q6221392","John Belcher","English architect","Male","United Kingdom of Great Britain and Ireland","Architect",1841,1913,"",72
"Q60248934","Pieter Venema","Dutch photographer","Male","Kingdom of the Netherlands","Artist",1899,1985,"",86
"Q5672600","Harry Stiller","British racing driver","Male","United Kingdom","Entrepreneur",1938,2018,"",80
"Q3619946","Antonio Neiwiller","Italian actor and writer","Male","Italy","Artist",1948,1993,"",45
"Q11292360","Charles della Faille de Leverghem","Belgian politician","Male","Belgium","Politician",1842,1902,"",60
"Q5335826","Eddie August Schneider","American aviator","Male","United States of America","Military personnel",1911,1940,"accident",29
"Q5496384","Fred Tauby","American baseball player","Male","United States of America","Athlete",1906,1955,"",49
"Q11427587","Jun'ichi Hori","Japanese teacher","Male","Japan","Teacher",1926,2017,"",91
"Q63161809","Thomas Henry Robinson","Thomas Henry Robinson (1876-1941) 1942 Obituary &amp;#91;1&amp;#93; THOMAS HENRY ROBINSON was an inspecting engineer for practically the whole of his professi...","Male","","Engineer",1876,1941,"",65
"Q5497989","Frederick Heath","American architect","Male","United States of America","Architect",1861,1953,"",92
"Q20081328","Simona Mafai De Pasquale","Italian politician","Female","Italy","Politician",1928,2019,"",91
"Q441411","Juan de Garay","Spanish conquistador","Male","","Explorer",1528,1583,"",55
"Q6254023","John R. Thomas","American politician","Male","United States of America","Politician",1846,1914,"",68
"Q3181415","John Egan","Irish flautist","Male","Ireland","",1903,1989,"",86
"Q9147726","Alfred Kraus","convicted war criminal","Male","","",1922,2000,"",78
"Q887377","John of Conza","militair uit Byzantijnse Rijk (-617)","Male","Byzantine Empire","Military personnel",600,617,"capital punishment",17
"Q17634758","Marcel Beau","French aviator","Male","France","Military personnel",1908,1940,"",32
"Q3388114","Pietro Favret","mozaïekkunstenaar","Male","","",1871,1936,"",65
"Q2958582","Charles Bory","Swiss writer and poet (1914-1991)","Male","Switzerland","Artist",1914,1991,"",77
"Q61995981","Jaroslav Novák","Czech painter and graphic artist (1890-1943)","","Austria-Hungary; Czechoslovakia","Artist",1890,1943,"",53
"Q29642193","Georg Fayer","Austrian-American photographer of Hungarian origin","Male","United States of America; Austria; Austria-Hungary","Artist",1892,1950,"",58
"Q2979746","Zinaida Voronina","gymnast","Female","Soviet Union","Artist",1947,2001,"",54
"Q421675","Louis Le Prince","French artist and cinematographer, pioneer of cinema","Male","France","Artist",1841,1890,"",49
"Q1038698","Karl Heinrich Nikolai","German writer (1739-1823)","Male","Germany","Artist",1739,1823,"",84
"Q2251451","Marcus Laurinus","prêtre et humaniste néerlandais","Male","Habsburg Netherlands","Researcher",1488,1540,"",52
"Q455114","Manfredi Nicoletti","Italian architect","Male","Italy; Kingdom of Italy","Teacher",1930,2017,"",87
"Q1526836","Helene Tschitschko","Austrian politician (1908-1992)","Female","Austria","Politician",1908,1992,"",84
"Q1034418","Máté Haubner","","","","Religious figure",1794,1880,"",86
"Q16944669","Étienne Gibert","zanger","Male","","",1859,1929,"",70
"Q26212832","Ignacio José Escobar","Spaans journalist","Male","Spain","Politician",1823,1887,"",64
"Q1698572","Hans Warnke","German politician (1896-1984)","Male","German Democratic Republic","Politician",1896,1984,"",88
"Q16527070","Annibale Flori","Italian association football player (1896-1917)","Male","Kingdom of Italy","Athlete",1896,1917,"",21
"Q24239485","Frank Madden","Australian politician","Male","Australia; United Kingdom of Great Britain and Ireland","Politician",1847,1921,"",74
"Q59528872","Carlton Jackson","born:1933-01-15|died:2014|; Jackson, Carlton, 1933-2014; Jackson, Carlton L.; Jackson, Carlton, 1933-","","","",1933,2014,"",81
"Q435177","Richard Addinsell","English film score composer","Male","United Kingdom; United Kingdom of Great Britain and Ireland","Artist",1904,1977,"",73
"Q1679224","Jakob Maximilian von Thun und Hohenstein","Austrian priest","Male","Austria","Religious figure",1681,1741,"",60
"Q566918","Annie Funk","American missionary","Female","United States of America","Religious figure",1874,1912,"",38
"Q65940520","Courtlandt Palmer","American pianist and composer (1872-1951)","","","Artist",1871,1951,"",80
"Q76120787","George Williams","(1849-1930)","","","",1849,1930,"",81
"Q55671722","Georges Condevaux","Inspecteur général de l'Education nationale, enseignement du premier degré","Male","","",1893,1951,"",58
"Q2573542","Wilhelm Karl Baldinger","Swiss politician (1810-1881)","Male","Switzerland","Politician",1810,1881,"",71
"Q55218155","George Tataniq","1910-1991, lived Baker Lake, Northwest Territories; artist","Male","","Artist",1910,1991,"",81
"Q15875364","Frans Goes","Belgian politician","","Belgium","Politician",1895,1969,"",74
"Q1561307","Günther Bahr","Austrian radio host","Male","Austria","Radio personality",1944,2011,"",67
"Q20739984","Dominique Zahan","French ethnologist","","France; Romania","",1915,1991,"",76
"Q10117","Alice Greene","British tennis player","Female","United Kingdom","Athlete",1879,1956,"",77
"Q12199248","Pedro Correa y Santiago","Peruvian politician","Male","Peru","Politician",1831,1892,"",61
"Q22570121","Stefan Plohberger","österreichischer römisch-katholischer Geistlicher, Zisterzienser, Forstmeister und Gegner des Nationalsozialismus","Male","Austria","",1898,1977,"",79
"Q326351","Barry Domvile","Royal Navy admiral","Male","United Kingdom","Artist",1878,1971,"",93
"Q3367043","Edwin Richards","field hockey player","Male","United Kingdom","Athlete",1879,1930,"",51
"Q963806","Julian Symons","British writer","Male","United Kingdom","Researcher",1912,1994,"",82
"Q6219389","John Armstrong","American soldier and land speculator from Surry County, North Carolina","Male","United States of America","Military personnel",1735,1784,"",49
"Q11973000","Gry Ødegaarden Hosein","norsk drapsoffer","","Norway","",1972,2001,"homicide",29
"Q8004802","William B. Hopkins","American politician","Male","United States of America","Politician",1922,2012,"",90
"Q1606959","Henry Kotowski","Oost-Duits componist","Male","German Democratic Republic","Artist",1944,2019,"",75
